Purchasing Document,Company Code,Item category,Item category desc
4500004382,7300,0,Standard
4500007682,7200,9,Service
4500007864,7200,0,Standard
4500008233,7200,0,Standard
4500008286,7200,0,Standard
4500008352,7200,0,Standard
4500008941,7200,0,Standard
4500009953,7200,0,Standard
4500009958,7200,0,Standard
4500011159,7200,0,Standard
4500011236,7300,0,Standard
4500011629,7200,0,Standard
4500012103,7200,0,Standard
4500012443,7200,0,Standard
4500012473,7200,0,Standard
4500012561,7200,0,Standard
4500013028,7300,0,Standard
4500013682,7200,0,Standard
4500014081,7200,0,Standard
4500014082,7200,0,Standard
4500014083,7200,0,Standard
4500014740,7300,0,Standard
4500014762,7200,9,Service
4500014875,7100,7,Stock transfer
4500015213,7200,0,Standard
4500015288,7200,0,Standard
4500015320,7300,9,Service
4500015415,7200,9,Service
4500015538,7100,9,Service
4500015566,6100,0,Standard
4500015567,6100,0,Standard
4500015568,6100,0,Standard
4500015609,7200,0,Standard
4500015670,7200,0,Standard
4500015671,7300,0,Standard
4500015780,7200,0,Standard
4500015785,6100,0,Standard
4500015786,7100,9,Service
4500015793,7300,9,Service
4500015795,7200,9,Service
4500015797,7100,9,Service
4500015812,7200,9,Service
4500015818,6100,9,Service
4500015822,6100,9,Service
4500015827,7200,9,Service
4500015841,7200,0,Standard
4500015842,7200,0,Standard
4500015843,7200,0,Standard
4500015844,7200,0,Standard
4500015845,7100,0,Standard
4500015846,7100,0,Standard
4500015847,7100,0,Standard
4500015848,7100,0,Standard
4500015849,7300,0,Standard
4500015850,7300,9,Service
4500015851,7200,7,Stock transfer
4500015861,7200,9,Service
4500015888,7200,0,Standard
4500015891,7200,0,Standard
4500015892,7200,0,Standard
4500015893,7200,0,Standard
4500015894,7200,0,Standard
4500015895,7200,0,Standard
4500015896,7200,0,Standard
4500015898,7200,0,Standard
4500015900,6100,0,Standard
4500015901,6100,0,Standard
4500015916,7200,0,Standard
4500015918,7200,0,Standard
4500015919,7300,0,Standard
4500015935,7200,0,Standard
4500015936,7200,0,Standard
4500015942,7200,0,Standard
4500015943,7200,0,Standard
4500015948,6100,0,Standard
4500015949,6100,0,Standard
4500015950,6100,0,Standard
4500015952,7200,0,Standard
4500015953,7200,0,Standard
4500015954,7200,0,Standard
4500015957,6100,0,Standard
4500015958,6100,0,Standard
4500015959,6100,0,Standard
4500015960,6100,0,Standard
4500015961,6100,0,Standard
4500015962,7200,0,Standard
4500015963,7200,0,Standard
4500015964,7200,0,Standard
4500015971,7200,9,Service
4500015974,6100,0,Standard
4500015975,6100,0,Standard
4500015976,6100,0,Standard
4500016006,7200,9,Service
4500016008,7100,9,Service
4500016009,7200,9,Service
4500016010,7200,9,Service
4500016011,7200,9,Service
4500016024,6100,9,Service
4500016029,7200,0,Standard
