Exception ID,Exception description,Count,Pct
0,PO Low-value service invoice,10953,35.48
91,GR Not Done-Simple Check,6557,21.24
1,Process PO Invoice (PO),4050,13.12
151,Manual Check Needed / Missing Data for Indexing Lines (PO),2621,8.49
29,Missing Mandatory Information(PO),2552,8.27
75,LIV - Price Discrepancy,964,3.12
2,Invalid PO Number (PO),789,2.56
38,Freight on Invoice (PO),748,2.42
82,Header Block,705,2.28
37,Unit of Measure Mismatch (PO),224,0.73
6,Suspected Duplicate (PO),214,0.69
34,Vendor Mismatch (PO),201,0.65
3,Invalid Vendor (PO),152,0.49
85,Company Code Mismatch(PO),57,0.18
902,Invalid Company Code (PO),23,0.07
930,Process Down Payment Request (PO),23,0.07
271,Validate Accounting Data (NPO),16,0.05
415,Check Withholding Tax Data (PO),12,0.04
47,Suspected Duplicate (NPO),5,0.02
76,LIV - Quantity Discrepancy,3,0.01
416,Down Payment Clearing (PO),3,0.01
11,Invalid Vendor VAT Number (PO),1,0.0
