Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv
51003869,SOUTHERN IONICS INCORPORATED,946,1061,1.12
51004553,MOTION INDUSTRIES INC,287,441,1.54
51003955,TERRA FIRST,362,425,1.17
51004029,PPG INDUSTRIES INC,295,387,1.31
51004490,COLUMBUS RUBBER & GASKET CO INC,225,387,1.72
51004610,CARMEUSE LIME AND STONE INC,327,331,1.01
51004581,THOMPSONS WELDING SERVICES INC,169,297,1.76
51004749,APACHE INDUSTRIAL SERVICES INC,168,263,1.57
51003926,MSC INDUSTRIAL SUPPLY CO INC,156,259,1.66
51004601,"MEWCO, INC",165,232,1.41
51004305,YAZOO RIVER TOWING INC,88,211,2.4
51004809,FISHER SCIENTIFIC COMPANY LLC,72,195,2.71
51004495,HARCROS CHEMICALS INC,115,194,1.69
51003931,GULF COAST MARINE SUPPLY CO INC,87,191,2.2
51004598,AIRGAS CARBONICS INC,103,178,1.73
51004569,MARATHON PETROLEUM COMPANY LP,96,166,1.73
51004873,EVANS PLUMBING AND AC INC,113,163,1.44
51003907,LHOIST NORTH AMERICA OF ALABAMA,152,159,1.05
51002585,AMERICAN CONTROLS TECHNOLOGY INC,72,149,2.07
51004671,SOUTHERN INDUSTRIAL SUPPLY LLC,57,136,2.39
51004872,BESTWADE PETROLEUM INC,70,132,1.89
51004760,WESTLAKE CHEMICALS & VINYLS LLC,69,125,1.81
51004317,MOODY PRICE LLC,65,118,1.82
51003959,FASTENAL CO,79,111,1.41
51003880,HYDRO-VAC INDUSTRIAL SERVICES INC,59,105,1.78
51004062,TENN-TOM PALLET CO INC,98,104,1.06
51004906,GLENN MACHINE WORKS INC,40,100,2.5
51004484,OLIN CORP - CHLOR ALKALI,69,98,1.42
51004762,MRC GLOBAL (US) INC.,49,92,1.88
51004941,ACCEL LLC,52,90,1.73
51004477,MICROSOFT CORP,30,90,3.0
51003432,MEDITERRANEAN SHIPPING CO,17,85,5.0
51004875,NESCO LLC,41,85,2.07
51004788,IQUISA INC.,73,78,1.07
51004071,NORFALCO LLC,49,76,1.55
51004770,"CRAWFORD ELECTRIC SUPPLY CO., INC.",52,75,1.44
51004087,UNIFIRST HOLDINGS LP,45,75,1.67
51003970,FEDEX FREIGHT EAST,43,74,1.72
51004547,ITT GOULDS PUMPS INC,43,74,1.72
51004603,MORIN PROCESS EQUIPMENT,50,73,1.46
51004663,EMERSON LLLP,52,73,1.4
51004665,WWWEX FRANCHISE HOLDINGS LLC,44,71,1.61
51004600,ABTREX INDUSTRIES INC,29,70,2.41
51005058,MCMASTER-CARR SUPPLY COMPANY,31,69,2.23
51004874,LIONSQUARE EQUIPMENT INC.,23,68,2.96
51004517,PQ LLC,42,65,1.55
51004329,UNITED RENTALS (NORTH AMERICA) INC,32,63,1.97
51004926,CHOCTAW RAILS,21,61,2.9
51004882,WISE STAFFING SERVICES INC,32,61,1.91
51006056,WOODALL ELECTRIC INC.,28,59,2.11
