Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv
51004581,THOMPSONS WELDING SERVICES INC,649,1462,2.25
51004553,MOTION INDUSTRIES INC,436,1029,2.36
51004749,APACHE INDUSTRIAL SERVICES INC,338,768,2.27
51003926,MSC INDUSTRIAL SUPPLY CO INC,239,739,3.09
51004029,PPG INDUSTRIES INC,368,684,1.86
51004873,EVANS PLUMBING AND AC INC,215,621,2.89
51004601,"MEWCO, INC",305,613,2.01
51004490,COLUMBUS RUBBER & GASKET CO INC,277,575,2.08
51003880,HYDRO-VAC INDUSTRIAL SERVICES INC,131,476,3.63
51004610,CARMEUSE LIME AND STONE INC,372,445,1.2
51004841,SOUTHERN SYNERGY INC,265,437,1.65
51004906,GLENN MACHINE WORKS INC,138,394,2.86
51004788,IQUISA INC.,165,371,2.25
51004881,"WEATHERS ELECTRIC, INC.",108,346,3.2
51004603,MORIN PROCESS EQUIPMENT,120,344,2.87
51004809,FISHER SCIENTIFIC COMPANY LLC,85,338,3.98
51004882,WISE STAFFING SERVICES INC,117,332,2.84
51004329,UNITED RENTALS (NORTH AMERICA) INC,80,291,3.64
51004878,SCOTT & SONS CONSTRUCTION & MECHANI,137,287,2.09
51004317,MOODY PRICE LLC,105,273,2.6
51004569,MARATHON PETROLEUM COMPANY LP,110,257,2.34
51004941,ACCEL LLC,93,254,2.73
51003907,LHOIST NORTH AMERICA OF ALABAMA,175,241,1.38
51004671,SOUTHERN INDUSTRIAL SUPPLY LLC,75,230,3.07
51004533,CENTRO INC,88,224,2.55
51004305,YAZOO RIVER TOWING INC,88,218,2.48
51004495,HARCROS CHEMICALS INC,116,217,1.87
51003931,GULF COAST MARINE SUPPLY CO INC,92,214,2.33
51004484,OLIN CORP - CHLOR ALKALI,88,214,2.43
51004506,S AND J TRANSFER AND STORAGE LTD,71,206,2.9
51004760,WESTLAKE CHEMICALS & VINYLS LLC,80,189,2.36
51004598,AIRGAS CARBONICS INC,103,187,1.82
51004875,NESCO LLC,60,182,3.03
51002585,AMERICAN CONTROLS TECHNOLOGY INC,78,180,2.31
51006056,WOODALL ELECTRIC INC.,41,178,4.34
51004874,LIONSQUARE EQUIPMENT INC.,58,176,3.03
51004087,UNIFIRST HOLDINGS LP,55,176,3.2
51004071,NORFALCO LLC,72,175,2.43
51004665,WWWEX FRANCHISE HOLDINGS LLC,65,165,2.54
51004296,WASTE AWAY GROUP INC,72,165,2.29
51004642,MCCRARY-WEST CONSTRUCTION CO INC,55,164,2.98
51004872,BESTWADE PETROLEUM INC,73,158,2.16
51004926,CHOCTAW RAILS,31,157,5.06
51004517,PQ LLC,54,154,2.85
51004477,MICROSOFT CORP,31,153,4.94
51004762,MRC GLOBAL (US) INC.,72,151,2.1
51004734,"PREMIER EYE CARE, PLLC",50,151,3.02
51003970,FEDEX FREIGHT EAST,62,144,2.32
51003946,THE EOSYS GROUP INC,66,141,2.14
51004011,THOMPSON MACHINERY,72,134,1.86
