Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51003869,SOUTHERN IONICS INCORPORATED,946,1061,1.12,1061,7.94
51004553,MOTION INDUSTRIES INC,287,441,1.54,1502,11.24
51003955,TERRA FIRST,362,425,1.17,1927,14.42
51004029,PPG INDUSTRIES INC,295,387,1.31,2314,17.32
51004490,COLUMBUS RUBBER & GASKET CO INC,225,387,1.72,2701,20.21
51004610,CARMEUSE LIME AND STONE INC,327,331,1.01,3032,22.69
51004581,THOMPSONS WELDING SERVICES INC,169,297,1.76,3329,24.91
51004749,APACHE INDUSTRIAL SERVICES INC,168,263,1.57,3592,26.88
51003926,MSC INDUSTRIAL SUPPLY CO INC,156,259,1.66,3851,28.82
51004601,"MEWCO, INC",165,232,1.41,4083,30.55
51004305,YAZOO RIVER TOWING INC,88,211,2.4,4294,32.13
51004809,FISHER SCIENTIFIC COMPANY LLC,72,195,2.71,4489,33.59
51004495,HARCROS CHEMICALS INC,115,194,1.69,4683,35.04
51003931,GULF COAST MARINE SUPPLY CO INC,87,191,2.2,4874,36.47
51004598,AIRGAS CARBONICS INC,103,178,1.73,5052,37.81
51004569,MARATHON PETROLEUM COMPANY LP,96,166,1.73,5218,39.05
51004873,EVANS PLUMBING AND AC INC,113,163,1.44,5381,40.27
51003907,LHOIST NORTH AMERICA OF ALABAMA,152,159,1.05,5540,41.46
51002585,AMERICAN CONTROLS TECHNOLOGY INC,72,149,2.07,5689,42.57
51004671,SOUTHERN INDUSTRIAL SUPPLY LLC,57,136,2.39,5825,43.59
51004872,BESTWADE PETROLEUM INC,70,132,1.89,5957,44.58
51004760,WESTLAKE CHEMICALS & VINYLS LLC,69,125,1.81,6082,45.51
51004317,MOODY PRICE LLC,65,118,1.82,6200,46.4
51003959,FASTENAL CO,79,111,1.41,6311,47.23
51003880,HYDRO-VAC INDUSTRIAL SERVICES INC,59,105,1.78,6416,48.01
51004062,TENN-TOM PALLET CO INC,98,104,1.06,6520,48.79
51004906,GLENN MACHINE WORKS INC,40,100,2.5,6620,49.54
51004484,OLIN CORP - CHLOR ALKALI,69,98,1.42,6718,50.27
51004762,MRC GLOBAL (US) INC.,49,92,1.88,6810,50.96
51004941,ACCEL LLC,52,90,1.73,6900,51.64
51004477,MICROSOFT CORP,30,90,3.0,6990,52.31
51003432,MEDITERRANEAN SHIPPING CO,17,85,5.0,7075,52.94
51004875,NESCO LLC,41,85,2.07,7160,53.58
51004788,IQUISA INC.,73,78,1.07,7238,54.16
51004071,NORFALCO LLC,49,76,1.55,7314,54.73
51004770,"CRAWFORD ELECTRIC SUPPLY CO., INC.",52,75,1.44,7389,55.29
51004087,UNIFIRST HOLDINGS LP,45,75,1.67,7464,55.86
51003970,FEDEX FREIGHT EAST,43,74,1.72,7538,56.41
51004547,ITT GOULDS PUMPS INC,43,74,1.72,7612,56.96
51004603,MORIN PROCESS EQUIPMENT,50,73,1.46,7685,57.51
51004663,EMERSON LLLP,52,73,1.4,7758,58.06
51004665,WWWEX FRANCHISE HOLDINGS LLC,44,71,1.61,7829,58.59
51004600,ABTREX INDUSTRIES INC,29,70,2.41,7899,59.11
51005058,MCMASTER-CARR SUPPLY COMPANY,31,69,2.23,7968,59.63
51004874,LIONSQUARE EQUIPMENT INC.,23,68,2.96,8036,60.14
51004517,PQ LLC,42,65,1.55,8101,60.62
51004329,UNITED RENTALS (NORTH AMERICA) INC,32,63,1.97,8164,61.09
51004926,CHOCTAW RAILS,21,61,2.9,8225,61.55
51004882,WISE STAFFING SERVICES INC,32,61,1.91,8286,62.01
51006056,WOODALL ELECTRIC INC.,28,59,2.11,8345,62.45
51004841,SOUTHERN SYNERGY INC,33,58,1.76,8403,62.88
51004669,GULF COAST SAND LLC,37,56,1.51,8459,63.3
51004506,S AND J TRANSFER AND STORAGE LTD,35,55,1.57,8514,63.71
51004578,"SAP AMERICA, INC.",23,55,2.39,8569,64.12
51004510,AUTOMOTIVE RENTALS INC,27,52,1.93,8621,64.51
51004672,"HINTON LUMBER PRODUCTS, INC.",43,51,1.19,8672,64.9
