Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004581,THOMPSONS WELDING SERVICES INC,649,1462,2.25,1462,5.05
51004553,MOTION INDUSTRIES INC,436,1029,2.36,2491,8.6
51004749,APACHE INDUSTRIAL SERVICES INC,338,768,2.27,3259,11.25
51003926,MSC INDUSTRIAL SUPPLY CO INC,239,739,3.09,3998,13.81
51004029,PPG INDUSTRIES INC,368,684,1.86,4682,16.17
51004873,EVANS PLUMBING AND AC INC,215,621,2.89,5303,18.31
51004601,"MEWCO, INC",305,613,2.01,5916,20.43
51004490,COLUMBUS RUBBER & GASKET CO INC,277,575,2.08,6491,22.41
51003880,HYDRO-VAC INDUSTRIAL SERVICES INC,131,476,3.63,6967,24.06
51004610,CARMEUSE LIME AND STONE INC,372,445,1.2,7412,25.59
51004841,SOUTHERN SYNERGY INC,265,437,1.65,7849,27.1
51004906,GLENN MACHINE WORKS INC,138,394,2.86,8243,28.46
51004788,IQUISA INC.,165,371,2.25,8614,29.74
51004881,"WEATHERS ELECTRIC, INC.",108,346,3.2,8960,30.94
51004603,MORIN PROCESS EQUIPMENT,120,344,2.87,9304,32.13
51004809,FISHER SCIENTIFIC COMPANY LLC,85,338,3.98,9642,33.29
51004882,WISE STAFFING SERVICES INC,117,332,2.84,9974,34.44
51004329,UNITED RENTALS (NORTH AMERICA) INC,80,291,3.64,10265,35.45
51004878,SCOTT & SONS CONSTRUCTION & MECHANI,137,287,2.09,10552,36.44
51004317,MOODY PRICE LLC,105,273,2.6,10825,37.38
51004569,MARATHON PETROLEUM COMPANY LP,110,257,2.34,11082,38.27
51004941,ACCEL LLC,93,254,2.73,11336,39.14
51003907,LHOIST NORTH AMERICA OF ALABAMA,175,241,1.38,11577,39.98
51004671,SOUTHERN INDUSTRIAL SUPPLY LLC,75,230,3.07,11807,40.77
51004533,CENTRO INC,88,224,2.55,12031,41.54
51004305,YAZOO RIVER TOWING INC,88,218,2.48,12249,42.3
51004495,HARCROS CHEMICALS INC,116,217,1.87,12466,43.05
51003931,GULF COAST MARINE SUPPLY CO INC,92,214,2.33,12680,43.78
51004484,OLIN CORP - CHLOR ALKALI,88,214,2.43,12894,44.52
51004506,S AND J TRANSFER AND STORAGE LTD,71,206,2.9,13100,45.23
51004760,WESTLAKE CHEMICALS & VINYLS LLC,80,189,2.36,13289,45.89
51004598,AIRGAS CARBONICS INC,103,187,1.82,13476,46.53
51004875,NESCO LLC,60,182,3.03,13658,47.16
51002585,AMERICAN CONTROLS TECHNOLOGY INC,78,180,2.31,13838,47.78
51006056,WOODALL ELECTRIC INC.,41,178,4.34,14016,48.4
51004874,LIONSQUARE EQUIPMENT INC.,58,176,3.03,14192,49.01
51004087,UNIFIRST HOLDINGS LP,55,176,3.2,14368,49.61
51004071,NORFALCO LLC,72,175,2.43,14543,50.22
51004665,WWWEX FRANCHISE HOLDINGS LLC,65,165,2.54,14708,50.79
51004296,WASTE AWAY GROUP INC,72,165,2.29,14873,51.36
51004642,MCCRARY-WEST CONSTRUCTION CO INC,55,164,2.98,15037,51.92
51004872,BESTWADE PETROLEUM INC,73,158,2.16,15195,52.47
51004926,CHOCTAW RAILS,31,157,5.06,15352,53.01
51004517,PQ LLC,54,154,2.85,15506,53.54
51004477,MICROSOFT CORP,31,153,4.94,15659,54.07
51004762,MRC GLOBAL (US) INC.,72,151,2.1,15810,54.59
51004734,"PREMIER EYE CARE, PLLC",50,151,3.02,15961,55.11
51003970,FEDEX FREIGHT EAST,62,144,2.32,16105,55.61
51003946,THE EOSYS GROUP INC,66,141,2.14,16246,56.1
51004011,THOMPSON MACHINERY,72,134,1.86,16380,56.56
51003959,FASTENAL CO,89,134,1.51,16514,57.02
51004547,ITT GOULDS PUMPS INC,54,134,2.48,16648,57.49
51004663,EMERSON LLLP,55,132,2.4,16780,57.94
51003616,POWER AND RUBBER SUPPLY INC,32,130,4.06,16910,58.39
51004625,"DAYFORCE US, INC.",27,130,4.81,17040,58.84
51004062,TENN-TOM PALLET CO INC,106,126,1.19,17166,59.27
51004519,PRECISION MEASUREMENTS INC,52,126,2.42,17292,59.71
51004510,AUTOMOTIVE RENTALS INC,29,122,4.21,17414,60.13
51004546,MOSAIC PERSONNEL SOLUTIONS INC,36,122,3.39,17536,60.55
51004670,ABERDEEN MACHINE WORKS INC,68,122,1.79,17658,60.97
51003432,MEDITERRANEAN SHIPPING CO,17,119,7.0,17777,61.38
51004156,FIS DATA SYSTEMS INC (F/K/A SUNGARD,21,115,5.48,17892,61.78
51004770,"CRAWFORD ELECTRIC SUPPLY CO., INC.",59,114,1.93,18006,62.18
51004316,PALMETTO INDUSTRIES INTERNATIONAL,30,113,3.77,18119,62.57
51004929,MI LLC,44,109,2.48,18228,62.94
51004632,LYNN WHITSETT CORP,36,109,3.03,18337,63.32
51004045,SUNBELT RENTALS INC,28,105,3.75,18442,63.68
51002830,BLOOMBERG LP,15,105,7.0,18547,64.04
51004780,FOX SCIENTIFIC,33,103,3.12,18650,64.4
51004843,THERMAL CONTROL INC,60,102,1.7,18752,64.75
51003878,BARNHART PLANT SERVICES LLC,39,101,2.59,18853,65.1
51005058,MCMASTER-CARR SUPPLY COMPANY,31,100,3.23,18953,65.45
51004469,FEDERAL EXPRESS CORP,45,99,2.2,19052,65.79
51004533,CENTRO,48,99,2.06,19151,66.13
51003904,SECURITAS SECURITY SERVICES USA,22,98,4.45,19249,66.47
51004611,ZOOK ENTERPRISES LLC,34,96,2.82,19345,66.8
51003883,SYSTEM SCALE CORPORATION,34,95,2.79,19440,67.13
51002674,INTERPLX INC,19,94,4.95,19534,67.45
51005028,BURFORD ELECTRIC SERVICE INC,40,90,2.25,19624,67.76
51003935,LAVENDER INC,52,89,1.71,19713,68.07
51004578,"SAP AMERICA, INC.",24,88,3.67,19801,68.37
51004416,UPS GROUND FREIGHT INC,33,85,2.58,19886,68.67
51004600,ABTREX INDUSTRIES INC,31,84,2.71,19970,68.96
51004479,BBP SALES LLC,18,84,4.67,20054,69.25
51003901,R3L ENGINEERING,12,83,6.92,20137,69.53
51004829,"WISSEN CONSULTING, LLC",28,82,2.93,20219,69.82
51004640,MARSPEC TECHNICAL PRODUCTS,30,82,2.73,20301,70.1
51004682,SCHNEIDER ELECTRIC SYSTEMS USA INC,32,79,2.47,20380,70.37
51003942,ALLEN ENGINEERING AND SCIENCE INC,22,79,3.59,20459,70.65
51004769,IC CONSULT US CORP,10,79,7.9,20538,70.92
51004050,MATTOX FEED MILL INC,52,73,1.4,20611,71.17
51005046,SWIFT PAN AMERICAS INC,10,72,7.2,20683,71.42
51004199,LINDLER FRIED GROUP INC,15,71,4.73,20754,71.66
51004636,THE G C BROACH CO,11,69,6.27,20823,71.9
51005067,HCL TECHNOLOGIES CORPORATE SERVICES,21,68,3.24,20891,72.14
51005092,COLLABORIT ENTERPRISE ASSET MANAGEM,19,67,3.53,20958,72.37
51002818,HOLLAND MANUFACTURING CORP.,17,67,3.94,21025,72.6
51004528,ENDRESS & HAUSER INC,18,67,3.72,21092,72.83
51004927,GOBOX LLC,24,65,2.71,21157,73.06
51005163,FLOWMASTER INC.,22,63,2.86,21220,73.27
51004672,"HINTON LUMBER PRODUCTS, INC.",46,62,1.35,21282,73.49
51004591,RELEVANT INDUSTRIAL LLC,23,61,2.65,21343,73.7
51004669,GULF COAST SAND LLC,38,61,1.61,21404,73.91
51004271,OREILLY AUTOMOTIVE STORES INC,5,60,12.0,21464,74.12
51004680,DRAEGER INC,17,60,3.53,21524,74.32
51003934,LANXESS CORP,22,60,2.73,21584,74.53
51003973,BW PACKAGING SYSTEMS INC,20,59,2.95,21643,74.73
51003422,TERN SOLUTIONS PTY LIMITED,12,59,4.92,21702,74.94
51003928,ALLMOND PRINTING CO INC,21,59,2.81,21761,75.14
51006140,MSC MEDITERRANEAN SHIPPING COMPANY,15,58,3.87,21819,75.34
51003882,PALMER COMPANIES LLC,19,58,3.05,21877,75.54
51003929,DERRICK CORPORATION,23,57,2.48,21934,75.74
51004886,INDUSTRIAL PARTS SPECIALTIES LLC,21,57,2.71,21991,75.94
51004645,CONSOLIDATED PIPE & SUPPLY CO,9,56,6.22,22047,76.13
51004247,FUSE3 SOLUTIONS LLC,23,56,2.43,22103,76.32
51003937,NEXAIR LLC,19,55,2.89,22158,76.51
51004711,MICHAEL F ROELING INC,22,54,2.45,22212,76.7
51004876,PARTCO LLC,23,54,2.35,22266,76.89
