Month,PO category decription,Events
2025-05,Service,317
2025-05,Standard,230
2025-05,Subcontracting,20
2025-06,Service,230
2025-06,Standard,180
2025-07,Service,141
2025-07,Standard,190
2025-07,Subcontracting,1
2025-08,Consignment,1
2025-08,Service,102
2025-08,Standard,90
2025-09,Service,126
2025-09,Standard,142
2025-09,Subcontracting,1
2025-10,Service,74
2025-10,Standard,248
2025-10,Subcontracting,9
2025-11,Service,79
2025-11,Standard,163
2025-11,Subcontracting,3
2025-12,Service,78
2025-12,Standard,195
2025-12,Subcontracting,1
