Supplier,Name 1,Events,Unique_Inv,Avg_Exc_Per_Inv
51003869,SOUTHERN IONICS INCORPORATED,367,366,1.0
51003955,TERRA FIRST,305,295,1.03
51004495,HARCROS CHEMICALS INC,83,83,1.0
51004305,YAZOO RIVER TOWING INC,81,52,1.56
51004665,WWWEX FRANCHISE HOLDINGS LLC,53,31,1.71
51003926,MSC INDUSTRIAL SUPPLY CO INC,37,31,1.19
51004578,"SAP AMERICA, INC.",34,19,1.79
51004045,SUNBELT RENTALS INC,32,15,2.13
51004906,GLENN MACHINE WORKS INC,32,14,2.29
51004087,UNIFIRST HOLDINGS LP,31,30,1.03
51004329,UNITED RENTALS (NORTH AMERICA) INC,30,13,2.31
51004882,WISE STAFFING SERVICES INC,30,24,1.25
51004749,APACHE INDUSTRIAL SERVICES INC,28,26,1.08
51004510,AUTOMOTIVE RENTALS INC,27,25,1.08
51003970,FEDEX FREIGHT EAST,26,22,1.18
51004581,THOMPSONS WELDING SERVICES INC,26,13,2.0
51004601,"MEWCO, INC",22,14,1.57
51004734,"PREMIER EYE CARE, PLLC",22,22,1.0
51004416,UPS GROUND FREIGHT INC,21,21,1.0
51004016,MOLLMANS WATER CONDITIONING INC,20,20,1.0
