Supplier,Name 1,Events,Unique_Inv
51004553,MOTION INDUSTRIES INC,565,353
51003869,SOUTHERN IONICS INCORPORATED,405,189
51003926,MSC INDUSTRIAL SUPPLY CO INC,373,135
51004029,PPG INDUSTRIES INC,297,122
51004788,IQUISA INC.,293,127
51004603,MORIN PROCESS EQUIPMENT,246,100
51004533,CENTRO INC,172,75
51004317,MOODY PRICE LLC,155,73
51004490,COLUMBUS RUBBER & GASKET CO INC,145,82
51004484,OLIN CORP - CHLOR ALKALI,116,51
51004610,CARMEUSE LIME AND STONE INC,114,62
51004809,FISHER SCIENTIFIC COMPANY LLC,111,37
51004071,NORFALCO LLC,99,43
51004929,MI LLC,95,40
51004569,MARATHON PETROLEUM COMPANY LP,91,44
51004611,ZOOK ENTERPRISES LLC,88,30
51004517,PQ LLC,87,38
51003907,LHOIST NORTH AMERICA OF ALABAMA,80,34
51004519,PRECISION MEASUREMENTS INC,76,41
51004875,NESCO LLC,71,25
